/home/bciuser/projects/neural_seq_decoder/.venv/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/bciuser/projects/neural_seq_decoder/src/neural_decoder/augmentations.py:91: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at ../aten/src/ATen/native/Convolution.cpp:895.)
  return self.conv(input, weight=self.weight, groups=self.groups, padding="same")
/home/bciuser/projects/neural_seq_decoder/src/neural_decoder/neural_decoder_trainer.py:211: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  torch.tensor(pred[iterIdx, 0 : adjustedLens[iterIdx], :]),
batch 5400, ctc loss: 3.626851, cer: 0.945813, time/batch:   2.790, lr: 0.011898
batch 5500, ctc loss: 3.623053, cer: 0.945813, time/batch:   2.792, lr: 0.011748
batch 5600, ctc loss: 3.622832, cer: 0.945813, time/batch:   2.814, lr: 0.011598
batch 5700, ctc loss: 3.618290, cer: 0.945813, time/batch:   2.716, lr: 0.011448
batch 5800, ctc loss: 3.634535, cer: 0.946886, time/batch:   2.714, lr: 0.011298
batch 5900, ctc loss: 3.624033, cer: 0.945813, time/batch:   2.767, lr: 0.011148
batch 6000, ctc loss: 3.662749, cer: 0.945813, time/batch:   2.740, lr: 0.010998
batch 6100, ctc loss: 3.624439, cer: 0.945813, time/batch:   2.857, lr: 0.010848
batch 6200, ctc loss: 3.615343, cer: 0.945813, time/batch:   2.742, lr: 0.010699
batch 6300, ctc loss: 3.621277, cer: 0.946886, time/batch:   2.775, lr: 0.010549
batch 6400, ctc loss: 3.764898, cer: 0.945813, time/batch:   2.813, lr: 0.010399
batch 6500, ctc loss: 3.681513, cer: 0.945813, time/batch:   2.821, lr: 0.010249
batch 6600, ctc loss: 3.618087, cer: 0.945813, time/batch:   2.748, lr: 0.010099
batch 6700, ctc loss: 3.650774, cer: 0.945813, time/batch:   2.831, lr: 0.009949
batch 6800, ctc loss: 3.655664, cer: 0.946886, time/batch:   2.802, lr: 0.009799
batch 6900, ctc loss: 3.628516, cer: 0.945813, time/batch:   2.741, lr: 0.009649
batch 7000, ctc loss: 3.652744, cer: 0.945813, time/batch:   2.775, lr: 0.009499
batch 7100, ctc loss: 3.654042, cer: 0.949280, time/batch:   2.796, lr: 0.009349
batch 7200, ctc loss: 3.652406, cer: 0.946886, time/batch:   2.916, lr: 0.009199
batch 7300, ctc loss: 4.290955, cer: 0.937394, time/batch:   2.801, lr: 0.009049
batch 7400, ctc loss: 4.011167, cer: 0.945813, time/batch:   2.719, lr: 0.008899
batch 7500, ctc loss: 3.637846, cer: 0.945813, time/batch:   2.789, lr: 0.008749
batch 7600, ctc loss: 3.624711, cer: 0.945813, time/batch:   2.789, lr: 0.008599
batch 7700, ctc loss: 3.592954, cer: 0.946886, time/batch:   2.770, lr: 0.008449
batch 7800, ctc loss: 3.634720, cer: 0.946886, time/batch:   2.793, lr: 0.008299
batch 7900, ctc loss: 3.626588, cer: 0.946886, time/batch:   2.776, lr: 0.008149
batch 8000, ctc loss: 3.674251, cer: 0.945813, time/batch:   2.781, lr: 0.007999
batch 8100, ctc loss: 3.627673, cer: 0.946886, time/batch:   2.873, lr: 0.007849
batch 8200, ctc loss: 3.614421, cer: 0.945813, time/batch:   2.840, lr: 0.007699
batch 8300, ctc loss: 3.601588, cer: 0.946886, time/batch:   2.767, lr: 0.007549
batch 8400, ctc loss: 3.662568, cer: 0.945813, time/batch:   2.841, lr: 0.007399
batch 8500, ctc loss: 3.608935, cer: 0.945813, time/batch:   2.798, lr: 0.007249
batch 8600, ctc loss: 3.627478, cer: 0.945813, time/batch:   2.779, lr: 0.007099
batch 8700, ctc loss: 3.607616, cer: 0.946886, time/batch:   2.829, lr: 0.006949
batch 8800, ctc loss: 3.578039, cer: 0.945813, time/batch:   2.777, lr: 0.006799
batch 8900, ctc loss: 3.598549, cer: 0.945813, time/batch:   2.797, lr: 0.006649
batch 9000, ctc loss: 3.617865, cer: 0.946886, time/batch:   2.850, lr: 0.006499
batch 9100, ctc loss: 3.614385, cer: 0.949280, time/batch:   2.774, lr: 0.006349
batch 9200, ctc loss: 3.573727, cer: 0.945813, time/batch:   2.834, lr: 0.006199
batch 9300, ctc loss: 3.620764, cer: 0.946886, time/batch:   2.664, lr: 0.006049
batch 9400, ctc loss: 3.581555, cer: 0.946886, time/batch:   2.714, lr: 0.005899
batch 9500, ctc loss: 3.596116, cer: 0.949280, time/batch:   2.790, lr: 0.005749
batch 9600, ctc loss: 3.596411, cer: 0.945813, time/batch:   2.864, lr: 0.005599
batch 9700, ctc loss: 3.569794, cer: 0.945813, time/batch:   2.844, lr: 0.005449
batch 9800, ctc loss: 3.609458, cer: 0.937394, time/batch:   2.777, lr: 0.005299
batch 9900, ctc loss: 3.581632, cer: 0.945813, time/batch:   2.821, lr: 0.005149
